Anime ID,Romaji Title,English Title,Description,Episodes,Start Date,End Date,Duration,Popularity,Source,Season,Year,Favorites,Average Score,isAdult,Genres
1,Cowboy Bebop,Cowboy Bebop,"Enter a world in the distant future, where Bounty Hunters roam the solar system. Spike and Jet, bounty hunting partners, set out on journeys in an ever struggling effort to win bounty rewards to survive.<br><br>
While traveling, they meet up with other very interesting people. Could Faye, the beautiful and ridiculously poor gambler, Edward, the computer genius, and Ein, the engineered dog be a good addition to the group?",26,"{'year': 1998, 'month': 4, 'day': 3}","{'year': 1999, 'month': 4, 'day': 24}",24,319274,ORIGINAL,SPRING,1998,21290,86,False,"Action, Adventure, Drama, Sci-Fi"
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,"As the Cowboy Bebop crew travels the stars, they learn of the largest bounty yet, a huge 300 million Woolongs. Apparently, someone is wielding a hugely powerful chemical weapon, and of course the authorities are at a loss to stop it. The war to take down the most dangerous criminal yet forces the crew to face a true madman, with bare hope to succeed.
<br><br>
(Source: Anime News Network)",1,"{'year': 2001, 'month': 9, 'day': 1}","{'year': 2001, 'month': 9, 'day': 1}",115,59463,ORIGINAL,SUMMER,2001,1075,82,False,"Action, Drama, Mystery, Sci-Fi"
6,TRIGUN,Trigun,"Vash the Stampede is a wanted man with a habit of turning entire towns into rubble. The price on his head is a fortune, and his path of destruction reaches across the arid wastelands of a desert planet. Unfortunately, most encounters with the spiky-haired gunslinger don't end well for the bounty hunters who catch up with him; someone almost always gets hurt - and it's never Vash.<br>
<br>
Oddly enough, for such an infamous fugitive, there's no proof that he's ever taken a life. In fact, he's a pacifist with a doughnut obsession who's more doofus than desperado. There's a whole lot more to him than his reputation lets on - Vash the Stampede definitely ain't your typical outlaw.<br>
<br>
(Source: Funimation)",26,"{'year': 1998, 'month': 4, 'day': 1}","{'year': 1998, 'month': 9, 'day': 30}",24,112378,MANGA,SPRING,1998,4138,79,False,"Action, Adventure, Comedy, Drama, Sci-Fi"
7,Witch Hunter ROBIN,Witch Hunter ROBIN,"Robin Sena is a powerful craft user drafted into the STNJ - a group of specialized hunters that fight deadly beings known as Witches. Though her fire power is great, she’s got a lot to learn about her powers and working with her cool and aloof partner, Amon. But the truth about the Witches and herself will leave Robin on an entirely new path that she never expected!<br>
<br>
(Source: Funimation)",26,"{'year': 2002, 'month': 7, 'day': 2}","{'year': 2002, 'month': 12, 'day': 24}",25,14964,ORIGINAL,SUMMER,2002,128,68,False,"Action, Drama, Mystery, Supernatural"
8,Bouken Ou Beet,Beet the Vandel Buster,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ",52,"{'year': 2004, 'month': 9, 'day': 30}","{'year': 2005, 'month': 9, 'day': 29}",23,2090,MANGA,FALL,2004,12,61,False,"Adventure, Fantasy, Supernatural"
15,Eyeshield 21,Eyeshield 21,"Welcome To the Gridiron of the Damned!   Huge hulking bodies throw themselves at each other, while a tiny lithe body runs between them for the goal!  No, it&rsquo;s not a game of football, it&rsquo;s Sena Kobayakawa trying to evade the monstrous Ha-Ha brothers down the halls of Deimon High School!  But wait!  Sena&rsquo;s incredible skills at not getting caught have been spotted by the devilish (possibly actually demonic) captain of the school&rsquo;s embryonic American style football team, and when Sena asks to be the teams manager, he gets  thrust onto the field as a running back instead!  But there are two BIG catches: first, to keep the identity of their new &ldquo;star&rdquo; player an absolute secret, Yoichi makes Sena wear an opaque visor on his helmet and gives him the alias of &ldquo;Eyeshield 21.&rdquo;  And the second catch?  Well, in order to hit his fastest &ldquo;speed of light&rdquo; running mode, Sena usually has to be absolutely terrified. Not that THAT will be a problem with the monstrous players that he&rsquo;ll soon find himself running from!  The insanity hits the streets when the feet meet the cleats in EYESHIELD 21! <br><br>
(Source: Sentai Filmworks)",145,"{'year': 2005, 'month': 4, 'day': 6}","{'year': 2008, 'month': 3, 'day': 19}",23,24909,MANGA,SPRING,2005,510,75,False,"Action, Comedy, Sports"
16,Hachimitsu to Clover,Honey and Clover,"Takemoto Yuuta, Mayama Takumi, and Morita Shinobu are college students who share the small apartment. Even though they live in poverty, the three of them are able to obtain pleasure through small things in life. The story follows these characters' life stories as poor college students, as well as their love lives when a short but talented 18 year old girl called Hanamoto Hagumi appears.
<br><br>
(Source: Anime News Network)",24,"{'year': 2005, 'month': 4, 'day': 15}","{'year': 2005, 'month': 9, 'day': 27}",23,43945,MANGA,SPRING,2005,726,76,False,"Comedy, Drama, Romance, Slice of Life"
17,Hungry Heart: Wild Striker,,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becomming professional soccer players themselves.
<br><br>
(Source: Anime News Network)",52,"{'year': 2002, 'month': 9, 'day': 11}","{'year': 2003, 'month': 9, 'day': 10}",23,3479,MANGA,FALL,2002,54,70,False,"Comedy, Slice of Life, Sports"
18,Initial D FOURTH STAGE,Initial D 4th Stage,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.",24,"{'year': 2004, 'month': 4, 'day': 17}","{'year': 2006, 'month': 2, 'day': 18}",27,31460,MANGA,SPRING,2004,591,79,False,"Action, Drama, Sports"
19,MONSTER,Monster,"Dr. Kenzo Tenma is a renowned Japanese brain surgeon working at a leading hospital in Germany. One night, Dr. Tenma risks his reputation and career to save the life of a critically wounded young boy over that of the town mayor who had been planning to support the hospital financially. A string of mysterious murders begin to occur soon after the operation, and Dr. Tenma emerges as the primary suspect despite no incriminating evidence. 
<br><br>
A doctor is taught to believe that all life is equal; however, when another series of murders occur in the surgeon's vicinity, Dr. Tenma's beliefs are shaken as his actions that night are shown to have much broader consequences than he could have imagined. Leaving behind his life as a surgeon he embarks on a journey across the country to unravel the mystery of the boy he saved.",74,"{'year': 2004, 'month': 4, 'day': 7}","{'year': 2005, 'month': 9, 'day': 28}",24,197699,MANGA,SPRING,2004,14119,88,False,"Drama, Horror, Mystery, Psychological, Thriller"
